id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
1,90,Toallas Húmedas x50,1,2902,2902
2,82,Aceitunas Negras 200g,5,2394,11970
2,39,Helado Vainilla 1L,5,469,2345
2,70,Fernet 750ml,2,4061,8122
2,22,Medialunas de Manteca,1,2069,2069
2,79,Hamburguesas Congeladas x4,4,2420,9680
3,9,Yerba Mate Suave 1kg,2,3878,7756
3,2,Pepsi 1.5L,2,4973,9946
3,85,Jugo en Polvo Naranja,1,1856,1856
4,4,Fanta Naranja 1.5L,2,2033,4066
4,23,Bizcochos Salados,5,2380,11900
5,86,Jugo en Polvo Limón,4,4090,16360
6,25,Galletitas Vainilla,2,4015,8030
6,31,Mix de Frutos Secos 200g,3,3409,10227
6,83,Queso Untable 190g,1,1830,1830
6,59,Chicle Menta,4,3612,14448
7,63,Granola 250g,3,4337,13011
8,53,Lavandina 1L,5,1664,8320
8,18,Queso Rallado 150g,4,3444,13776
8,68,Vino Blanco 750ml,5,2684,13420
9,65,Cerveza Rubia 1L,4,2423,9692
10,36,Dulce de Leche 400g,2,2559,5118
10,100,Trapo de Piso,4,4854,19416
10,37,Mermelada de Durazno 400g,3,3196,9588
10,62,Stevia 100 sobres,1,3848,3848
11,13,Té Verde 20 saquitos,1,2383,2383
11,65,Cerveza Rubia 1L,2,2423,4846
11,28,Papas Fritas Clásicas 100g,1,936,936
12,72,Ron 700ml,2,3876,7752
12,50,Azúcar 1kg,2,727,1454
12,56,Papel Higiénico x4,3,2532,7596
12,87,Sopa Instantánea Pollo,3,1679,5037
12,38,Mermelada de Frutilla 400g,4,1584,6336
13,87,Sopa Instantánea Pollo,1,1679,1679
13,81,Aceitunas Verdes 200g,3,2520,7560
13,13,Té Verde 20 saquitos,1,2383,2383
14,36,Dulce de Leche 400g,4,2559,10236
14,72,Ron 700ml,5,3876,19380
14,38,Mermelada de Frutilla 400g,3,1584,4752
14,97,Limpiavidrios 500ml,1,872,872
15,37,Mermelada de Durazno 400g,3,3196,9588
16,35,Barrita de Cereal 30g,5,4430,22150
17,81,Aceitunas Verdes 200g,5,2520,12600
17,46,Lentejas Secas 500g,5,3036,15180
17,74,Whisky 750ml,3,2953,8859
18,33,Chocolate con Leche 100g,2,1255,2510
18,4,Fanta Naranja 1.5L,5,2033,10165
18,24,Galletitas Chocolate,2,1305,2610
18,15,Leche Descremada 1L,3,2538,7614
18,22,Medialunas de Manteca,5,2069,10345
19,38,Mermelada de Frutilla 400g,2,1584,3168
19,98,Desengrasante 500ml,3,2843,8529
19,63,Granola 250g,3,4337,13011
20,32,Chocolate Amargo 100g,3,2234,6702
21,76,Pizza Congelada Muzzarella,5,4286,21430
21,35,Barrita de Cereal 30g,1,4430,4430
22,9,Yerba Mate Suave 1kg,2,3878,7756
22,28,Papas Fritas Clásicas 100g,3,936,2808
22,24,Galletitas Chocolate,4,1305,5220
23,64,Avena Instantánea 250g,4,3953,15812
23,83,Queso Untable 190g,4,1830,7320
24,91,Desodorante Aerosol,2,4690,9380
24,40,Helado Chocolate 1L,5,1215,6075
25,55,Shampoo 400ml,1,1407,1407
25,95,Mascarilla Capilar,5,1581,7905
25,72,Ron 700ml,1,3876,3876
26,79,Hamburguesas Congeladas x4,2,2420,4840
26,86,Jugo en Polvo Limón,1,4090,4090
27,7,Jugo de Manzana 1L,4,3269,13076
27,78,Verduras Congeladas Mix,4,4289,17156
28,74,Whisky 750ml,1,2953,2953
28,91,Desodorante Aerosol,2,4690,9380
28,72,Ron 700ml,1,3876,3876
28,18,Queso Rallado 150g,2,3444,6888
28,27,Alfajor Simple,5,2502,12510
29,58,Caramelos Masticables,1,4752,4752
29,36,Dulce de Leche 400g,2,2559,5118
29,71,Vodka 700ml,4,508,2032
29,27,Alfajor Simple,2,2502,5004
29,66,Cerveza Negra 1L,1,1533,1533
30,49,Harina de Trigo 1kg,4,2512,10048
30,78,Verduras Congeladas Mix,3,4289,12867
30,82,Aceitunas Negras 200g,4,2394,9576
30,7,Jugo de Manzana 1L,1,3269,3269
31,92,Crema Dental 90g,4,2512,10048
31,90,Toallas Húmedas x50,3,2902,8706
31,84,Queso Azul 150g,5,1645,8225
32,72,Ron 700ml,5,3876,19380
32,53,Lavandina 1L,4,1664,6656
32,17,Queso Cremoso 500g,3,4834,14502
32,35,Barrita de Cereal 30g,3,4430,13290
33,47,Garbanzos 500g,2,2939,5878
33,76,Pizza Congelada Muzzarella,4,4286,17144
33,100,Trapo de Piso,1,4854,4854
33,91,Desodorante Aerosol,2,4690,9380
34,10,Yerba Mate Intensa 1kg,1,4883,4883
34,32,Chocolate Amargo 100g,5,2234,11170
35,93,Cepillo de Dientes,3,2142,6426
35,80,Helado de Frutilla 1L,2,1981,3962
35,88,Caldo Concentrado Carne,5,2570,12850
36,50,Azúcar 1kg,4,727,2908
36,48,Porotos Negros 500g,2,4462,8924
37,18,Queso Rallado 150g,3,3444,10332
38,62,Stevia 100 sobres,5,3848,19240
38,14,Leche Entera 1L,3,1723,5169
38,65,Cerveza Rubia 1L,5,2423,12115
38,5,Agua Mineral 500ml,3,4777,14331
39,44,Arroz Largo Fino 1kg,4,2979,11916
39,22,Medialunas de Manteca,2,2069,4138
39,58,Caramelos Masticables,4,4752,19008
39,81,Aceitunas Verdes 200g,4,2520,10080
40,44,Arroz Largo Fino 1kg,2,2979,5958
41,51,Sal Fina 500g,1,1745,1745
41,15,Leche Descremada 1L,1,2538,2538
42,47,Garbanzos 500g,3,2939,8817
42,29,Papas Fritas Onduladas 100g,1,1868,1868
42,73,Gin 700ml,3,1561,4683
43,1,Coca Cola 1.5L,5,2347,11735
43,49,Harina de Trigo 1kg,2,2512,5024
43,66,Cerveza Negra 1L,2,1533,3066
44,48,Porotos Negros 500g,1,4462,4462
44,47,Garbanzos 500g,2,2939,5878
44,100,Trapo de Piso,2,4854,9708
45,12,Té Negro 20 saquitos,2,570,1140
45,18,Queso Rallado 150g,2,3444,6888
45,87,Sopa Instantánea Pollo,4,1679,6716
45,98,Desengrasante 500ml,1,2843,2843
45,52,Detergente Líquido 750ml,2,2582,5164
46,21,Pan Lactal Integral,1,272,272
47,43,Salsa de Tomate 500g,5,887,4435
47,6,Jugo de Naranja 1L,3,4170,12510
48,70,Fernet 750ml,1,4061,4061
48,54,Jabón de Tocador,5,1592,7960
48,57,Servilletas x100,4,4520,18080
49,59,Chicle Menta,2,3612,7224
49,21,Pan Lactal Integral,4,272,1088
49,59,Chicle Menta,4,3612,14448
49,18,Queso Rallado 150g,3,3444,10332
49,85,Jugo en Polvo Naranja,3,1856,5568
50,10,Yerba Mate Intensa 1kg,2,4883,9766
50,34,Turrón 50g,5,503,2515
50,58,Caramelos Masticables,5,4752,23760
50,32,Chocolate Amargo 100g,3,2234,6702
50,91,Desodorante Aerosol,4,4690,18760
51,31,Mix de Frutos Secos 200g,1,3409,3409
52,83,Queso Untable 190g,2,1830,3660
52,9,Yerba Mate Suave 1kg,4,3878,15512
52,81,Aceitunas Verdes 200g,5,2520,12600
52,38,Mermelada de Frutilla 400g,3,1584,4752
53,28,Papas Fritas Clásicas 100g,1,936,936
54,65,Cerveza Rubia 1L,1,2423,2423
54,18,Queso Rallado 150g,2,3444,6888
54,91,Desodorante Aerosol,3,4690,14070
54,8,Energética Nitro 500ml,3,4218,12654
55,39,Helado Vainilla 1L,4,469,1876
56,18,Queso Rallado 150g,5,3444,17220
57,31,Mix de Frutos Secos 200g,3,3409,10227
57,41,Aceite de Girasol 1L,4,860,3440
57,9,Yerba Mate Suave 1kg,5,3878,19390
57,76,Pizza Congelada Muzzarella,3,4286,12858
57,98,Desengrasante 500ml,4,2843,11372
58,43,Salsa de Tomate 500g,2,887,1774
58,11,Café Molido 250g,1,2053,2053
59,31,Mix de Frutos Secos 200g,1,3409,3409
59,8,Energética Nitro 500ml,2,4218,8436
59,97,Limpiavidrios 500ml,5,872,4360
60,43,Salsa de Tomate 500g,1,887,887
60,98,Desengrasante 500ml,3,2843,8529
60,15,Leche Descremada 1L,1,2538,2538
60,21,Pan Lactal Integral,2,272,544
60,91,Desodorante Aerosol,4,4690,18760
61,9,Yerba Mate Suave 1kg,3,3878,11634
61,19,Manteca 200g,3,3251,9753
62,47,Garbanzos 500g,4,2939,11756
62,95,Mascarilla Capilar,3,1581,4743
63,8,Energética Nitro 500ml,5,4218,21090
63,2,Pepsi 1.5L,2,4973,9946
63,70,Fernet 750ml,3,4061,12183
63,45,Fideos Spaghetti 500g,4,745,2980
64,4,Fanta Naranja 1.5L,2,2033,4066
64,41,Aceite de Girasol 1L,2,860,1720
65,77,Empanadas Congeladas,4,4778,19112
65,22,Medialunas de Manteca,3,2069,6207
65,38,Mermelada de Frutilla 400g,5,1584,7920
65,36,Dulce de Leche 400g,4,2559,10236
66,16,Yogur Natural 200g,3,4613,13839
67,53,Lavandina 1L,1,1664,1664
67,8,Energética Nitro 500ml,2,4218,8436
68,94,Hilo Dental,4,1418,5672
